Liczba_Epok_Max,Rozmiar_Populacji,Typ_Tuneli,Konfiguracja,Generacja,Najlepszy_wynik,Czas_s
50,30,Mało tuneli,Epoki: 50 | Pop: 30 | Tunele: Mało tuneli,45,0.004166034856210675,0.1608574390411377
50,30,Mało tuneli,Epoki: 50 | Pop: 30 | Tunele: Mało tuneli,46,0.003776384515343548,0.1608574390411377
50,30,Mało tuneli,Epoki: 50 | Pop: 30 | Tunele: Mało tuneli,47,0.0018216255125995612,0.1608574390411377
50,30,Mało tuneli,Epoki: 50 | Pop: 30 | Tunele: Mało tuneli,48,0.0018216255125995612,0.1608574390411377
50,30,Mało tuneli,Epoki: 50 | Pop: 30 | Tunele: Mało tuneli,49,0.0011437482308813676,0.1608574390411377
50,30,Mało tuneli,Epoki: 50 | Pop: 30 | Tunele: Mało tuneli,50,0.0006876485916884398,0.1608574390411377
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,1,26.69485930207772,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,2,25.80426015881541,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,3,19.481731104653825,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,4,10.180164911419363,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,5,5.88799109356515,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,6,4.968924731095064,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,7,3.4351237750341594,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,8,2.745380956291549,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,9,2.220795025005733,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,10,1.7850646555978036,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,11,1.1211547589469817,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,12,1.1211547589469817,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,13,0.7674997217960234,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,14,0.4110861493375492,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,15,0.3250071554284062,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,16,0.3250071554284062,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,17,0.2734014005104455,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,18,0.2734014005104455,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,19,0.2734014005104455,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,20,0.2734014005104455,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,21,0.2734014005104455,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,22,0.2734014005104455,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,23,0.2734014005104455,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,24,0.22643155284224933,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,25,0.22643155284224933,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,26,0.22643155284224933,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,27,0.20582287566168628,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,28,0.1998787315681861,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,29,0.12320641709304711,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,30,0.12320641709304711,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,31,0.12320641709304711,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,32,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,33,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,34,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,35,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,36,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,37,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,38,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,39,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,40,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,41,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,42,0.05855550196246376,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,43,0.050268913051451015,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,44,0.03598686514978467,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,45,0.02032100641762588,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,46,0.012930769153690062,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,47,0.007789547757437988,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,48,0.0037232162065069276,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,49,0.0019354109032530338,0.17984461784362793
50,30,Standard,Epoki: 50 | Pop: 30 | Tunele: Standard,50,0.0019354109032530338,0.17984461784362793
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,1,33.43562270386931,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,2,16.096970684601683,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,3,4.406153665551272,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,4,3.3022178887793854,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,5,2.1763223464973773,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,6,2.1763223464973773,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,7,2.1763223464973773,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,8,1.5803514703698462,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,9,1.5803514703698462,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,10,1.5108792191416651,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,11,1.0917467439506297,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,12,1.0917467439506297,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,13,1.0917467439506297,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,14,0.983605834623029,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,15,0.983605834623029,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,16,0.983605834623029,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,17,0.7904290754528391,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,18,0.620527624794988,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,19,0.620527624794988,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,20,0.5741658197926697,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,21,0.5741658197926697,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,22,0.47410813565183463,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,23,0.47410813565183463,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,24,0.3935997935370493,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,25,0.3935997935370493,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,26,0.3769287139645534,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,27,0.3769287139645534,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,28,0.3769287139645534,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,29,0.3769287139645534,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,30,0.2936935751906533,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,31,0.251902621682529,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,32,0.251902621682529,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,33,0.24144288442621156,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,34,0.20253778026573444,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,35,0.13965350672155877,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,36,0.12645557721018247,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,37,0.04276651034925206,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,38,0.04276651034925206,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,39,0.04276651034925206,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,40,0.04276651034925206,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,41,0.038224180151776636,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,42,0.038224180151776636,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,43,0.038224180151776636,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,44,0.0306604806187585,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,45,0.015198508018015835,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,46,0.015198508018015835,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,47,0.014201981290481697,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,48,0.008314484149870448,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,49,0.004941367880935908,0.19084882736206055
50,30,Dużo tuneli,Epoki: 50 | Pop: 30 | Tunele: Dużo tuneli,50,0.004941367880935908,0.19084882736206055
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,1,18.970966125850374,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,2,13.384271863960256,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,3,9.3776393868921,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,4,8.204546049133794,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,5,5.4455202542232275,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,6,4.808594149923253,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,7,3.3897978978052064,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,8,1.7064410360453006,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,9,1.467709303300129,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,10,1.0113096239840489,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,11,0.618003198934973,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,12,0.5345408823593192,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,13,0.4897523237588421,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,14,0.4897523237588421,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,15,0.4671414774238779,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,16,0.3098497211656378,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,17,0.30097295592918105,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,18,0.2867212555470283,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,19,0.11952238633963272,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,20,0.11952238633963272,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,21,0.10307719007325133,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,22,0.06859860201200468,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,23,0.06859860201200468,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,24,0.06623170302036696,0.31255054473876953
50,60,Mało tuneli,Epoki: 50 | Pop: 60 | Tunele: Mało tuneli,25,0.06623170302036696,0.31255054473876953
